交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-04-07 13:23:28,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504070050070776,`wx36177abf9259c7ff1428384189,`o6j3_spyEyqcSTWzASEBvehkQm-A,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`贡献一分钱,`,`0.00006,`0.60%
`2015-04-07 14:20:38,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504070050137554,`wx36177abf9259c7ff1428387574,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`贡献一分钱,`,`0.00006,`0.60%
`2015-04-10 15:27:23,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1008260319201504100055373894,`12898095933269865906,`o6j3_spyEyqcSTWzASEBvehkQm-A,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.00600,`0.60%
`2015-04-10 16:15:13,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1008260319201504100055465656,`12898095933269891185,`o6j3_spyEyqcSTWzASEBvehkQm-A,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.00600,`0.60%
`2015-04-10 17:24:47,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504100055600064,`12898095933269929843,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.00600,`0.60%
`2015-04-13 11:09:33,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504070050137554,`wx36177abf9259c7ff1428387574,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`REFUND,`CFT,`CNY,`0,`0,`2008260035201504130002971656,`101611872015040700501375541428894573,`0.01,`0.00,`ORIGINAL,`SUCCES,`贡献一分钱,`,`-0.00006,`0.60%
`2015-04-13 11:24:26,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504130060166766,`wx36177abf9259c7ff1428895451,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00006,`0.60%
`2015-04-13 11:31:01,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504130060204630,`wx36177abf9259c7ff1428895855,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00006,`0.60%
`2015-04-13 11:32:53,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504100055600064,`12898095933269929843,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`REFUND,`CFT,`CNY,`0,`0,`2004180319201504130002968473,`101611872015041000556000641428895973,`0.50,`0.00,`ORIGINAL,`SUCCES,`商品测试,`,`-0.00300,`0.60%
`2015-04-13 11:34:41,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504100055600064,`12898095933269929843,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`REFUND,`CFT,`CNY,`0,`0,`2004180319201504130002957155,`101611872015041000556000641428896081,`0.50,`0.00,`ORIGINAL,`SUCCES,`商品测试,`,`-0.00300,`0.60%
`2015-04-13 14:31:49,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504130060475089,`12898095933270221174,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01200,`0.60%
`2015-04-13 14:37:34,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504130060475089,`12898095933270221174,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`REFUND,`CFT,`CNY,`0,`0,`2004180319201504130002958173,`101611872015041300604750891428907054,`2.00,`0.00,`ORIGINAL,`SUCCES,`商品测试,`,`-0.01200,`0.60%
`2015-04-13 14:50:23,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504130060477978,`12898095933270224987,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`SUCCESS,`CFT,`CNY,`2.00,`1.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01200,`0.60%
`2015-04-13 14:51:47,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1004180319201504130060477978,`12898095933270224987,`o6j3_slGFxHznO8Iur9Sl4-xCUWo,`JSAPI,`REFUND,`CFT,`CNY,`0,`0,`2004180319201504130002979077,`101611872015041300604779781428907906,`2.00,`1.00,`ORIGINAL,`SUCCES,`商品测试,`,`-0.01200,`0.60%
`2015-04-13 15:21:06,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504130060570216,`wx36177abf9259c7ff1428909658,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00006,`0.60%
`2015-04-18 14:55:01,`wx97cbb908c15a96bd,`10014015,`10161187,`,`1008330319201504180072935926,`12898095933271429441,`o6j3_sq5dRUQ93klotG5bjSzWU2w,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`商品测试,`,`0.01000,`0.60%
`2015-04-20 14:20:09,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504200077063196,`wx36177abf9259c7ff1429510793,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-20 14:24:31,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504200077076987,`wx36177abf9259c7ff1429511064,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
`2015-04-21 10:45:48,`wx36177abf9259c7ff,`10161187,`0,`,`1008260035201504210078853949,`wx36177abf9259c7ff1429584294,`o6j3_spyEyqcSTWzASEBvehkQm-A,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0,`0,`,`,`海参,`,`0.00000,`0.60%
